# Published case counts at curator-spec dcc7f015e2d97edf2d52928afb6fd79ec8129e8b,
# plus the separately pinned draft-sources-v1 corpus consumed by internal/crossconformance.
family	expected_cases
manager-config-v2/vectors	56
manager-config-v2/schema-cases	107
system-config-v2/schema-cases	42
draft-sources-v1/semantic-cases	94
draft-sources-v1/schema-cases	116
draft-sources-v1/snapshot-cases	3
agent-environment-marker-v1/schema-cases	61
launch-env-fragment-v1/schema-cases	50
portable-paths/vectors	18
agent-skill-v7/schema-cases	37
csk-skill-v7/schema-cases	37
agent-skill-v8/schema-cases	66
csk-skill-v8/schema-cases	66
module-roots/vectors	10
script-host-execution-policy/opt-in-cases	6
script-host-execution-policy/executable-identity-cases	8
shell-hook-trust/vectors	14
build-source/build-source-cases	10
build-drivers/positive-cases	8
build-drivers/rejection-cases	77
build-drivers/argv-cases	5
build-drivers/fixed-environment-cases	3
build-drivers/toolchain-cases	12
go-host-execution-policy/capability-evidence-cases	11
go-host-execution-policy/identity-and-protocol-cases	14
go-host-execution-policy/package-influence-cases	8
source-identities/vectors	10
skill-build-v1/schema-cases	13
skillfile-dev-v2/schema-cases	16
external-repository/raw-objects	12
external-repository/lfs-pointers	10
external-repository/pack-index	8
external-repository/local-config-and-refs	15
marker/install-marker-v2/schema-cases	14
marker/install-marker-v4/schema-cases	27
install/dry-run-cases	3
external-repository-lifecycle/status-repair-gc-cases	5
closure/ordering-cases	3
manager-lifecycle/bootstrap-cases	3
manager-lifecycle/build-order-cases	1
manager-lifecycle/launcher-cases	2
manager-lifecycle/upgrade-cases	3
interop/canonical-valid-vectors	3
interop/canonical-invalid-vectors	5
interop/source-identity-vectors	10
interop/identifier-vectors	13
interop/locale-selector-vectors	10
interop/manager-config-vectors	15
context-versions/version-cases	15
context-versions/ordering-cases	1
context-versions/range-cases	50
context-versions/satisfies-cases	63
umbrella-provider-resolution/cases	14
context-versions/lock-cases	3
context-versions/resolution-cases	23
context-detectors/cases	12
snapshot-acquisition/cases	1
environments/header-cases	4
environments/materialization-cases	24
environments-env-passthrough/default-resolution-cases	7
environments-env-passthrough/allowlist-empty-cases	6
environments-env-passthrough/schema-cases	4
environments-env-passthrough/surfacing-cases	6
environments-env-passthrough/surfacing-order-cases	2
