ok  	github.com/relux-works/curator/cmd/curator	1.976s
ok  	github.com/relux-works/curator/internal/adapters	3.110s
ok  	github.com/relux-works/curator/internal/audit	1.843s
ok  	github.com/relux-works/curator/internal/buildcache	2.979s
ok  	github.com/relux-works/curator/internal/buildmeta	5.020s
ok  	github.com/relux-works/curator/internal/buildsource	4.458s
ok  	github.com/relux-works/curator/internal/capabilities	3.915s
ok  	github.com/relux-works/curator/internal/closure	7.580s
ok  	github.com/relux-works/curator/internal/config	2.916s
ok  	github.com/relux-works/curator/internal/devsub	2.064s
ok  	github.com/relux-works/curator/internal/envfiles	1.328s
ok  	github.com/relux-works/curator/internal/gitignore	4.327s
ok  	github.com/relux-works/curator/internal/gitops	5.373s
ok  	github.com/relux-works/curator/internal/globalbins	3.408s
ok  	github.com/relux-works/curator/internal/godriver	4.761s
ok  	github.com/relux-works/curator/internal/hashing	5.199s
ok  	github.com/relux-works/curator/internal/identifiers	4.064s
ok  	github.com/relux-works/curator/internal/identity	3.774s
ok  	github.com/relux-works/curator/internal/install	17.695s
ok  	github.com/relux-works/curator/internal/interop	4.066s
ok  	github.com/relux-works/curator/internal/locale	3.631s
ok  	github.com/relux-works/curator/internal/managerlock	12.526s
ok  	github.com/relux-works/curator/internal/manifest	3.944s
ok  	github.com/relux-works/curator/internal/marker	4.022s
ok  	github.com/relux-works/curator/internal/mcp	3.664s
ok  	github.com/relux-works/curator/internal/protocoljson	3.478s
ok  	github.com/relux-works/curator/internal/registry	5.032s
ok  	github.com/relux-works/curator/internal/runtimestore	10.278s
ok  	github.com/relux-works/curator/internal/scopes	3.618s
ok  	github.com/relux-works/curator/internal/shell	3.870s
ok  	github.com/relux-works/curator/internal/skillcheck	3.796s
ok  	github.com/relux-works/curator/internal/skillspec	4.010s
ok  	github.com/relux-works/curator/internal/snapshot	5.151s
ok  	github.com/relux-works/curator/internal/ui	3.870s
ok  	github.com/relux-works/curator/internal/verr	4.020s
ok  	github.com/relux-works/curator/internal/version	3.743s
ok  	github.com/relux-works/curator/internal/whitelist	3.914s
