go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	3.687s
ok  	github.com/relux-works/curator/internal/adapters	0.494s
ok  	github.com/relux-works/curator/internal/audit	2.583s
ok  	github.com/relux-works/curator/internal/buildcache	1.601s
ok  	github.com/relux-works/curator/internal/buildmeta	0.837s
ok  	github.com/relux-works/curator/internal/buildsource	1.572s
ok  	github.com/relux-works/curator/internal/capabilities	4.313s
ok  	github.com/relux-works/curator/internal/closure	6.699s
ok  	github.com/relux-works/curator/internal/config	5.024s
ok  	github.com/relux-works/curator/internal/devsub	1.894s
ok  	github.com/relux-works/curator/internal/envfiles	4.000s
ok  	github.com/relux-works/curator/internal/gitignore	2.420s
ok  	github.com/relux-works/curator/internal/gitops	4.345s
ok  	github.com/relux-works/curator/internal/globalbins	4.668s
ok  	github.com/relux-works/curator/internal/godriver	5.688s
ok  	github.com/relux-works/curator/internal/hashing	5.254s
ok  	github.com/relux-works/curator/internal/identifiers	5.425s
ok  	github.com/relux-works/curator/internal/identity	5.432s
ok  	github.com/relux-works/curator/internal/install	19.549s
ok  	github.com/relux-works/curator/internal/interop	5.290s
ok  	github.com/relux-works/curator/internal/locale	5.473s
ok  	github.com/relux-works/curator/internal/managerlock	6.025s
ok  	github.com/relux-works/curator/internal/manifest	5.481s
ok  	github.com/relux-works/curator/internal/marker	4.729s
ok  	github.com/relux-works/curator/internal/mcp	4.766s
ok  	github.com/relux-works/curator/internal/protocoljson	4.807s
ok  	github.com/relux-works/curator/internal/registry	6.377s
ok  	github.com/relux-works/curator/internal/runtimestore	12.491s
ok  	github.com/relux-works/curator/internal/scopes	5.142s
ok  	github.com/relux-works/curator/internal/shell	5.379s
ok  	github.com/relux-works/curator/internal/skillcheck	5.043s
ok  	github.com/relux-works/curator/internal/skillspec	5.254s
ok  	github.com/relux-works/curator/internal/snapshot	6.299s
ok  	github.com/relux-works/curator/internal/ui	5.108s
ok  	github.com/relux-works/curator/internal/verr	5.120s
ok  	github.com/relux-works/curator/internal/version	5.106s
ok  	github.com/relux-works/curator/internal/whitelist	5.084s
