ok  	github.com/relux-works/curator/cmd/curator	588.652s
ok  	github.com/relux-works/curator/internal/adapters	1.492s
ok  	github.com/relux-works/curator/internal/audit	2.592s
ok  	github.com/relux-works/curator/internal/buildcache	10.399s
ok  	github.com/relux-works/curator/internal/buildmeta	3.219s
ok  	github.com/relux-works/curator/internal/buildrepo	49.764s
ok  	github.com/relux-works/curator/internal/buildsource	3.568s
ok  	github.com/relux-works/curator/internal/capabilities	1.108s
ok  	github.com/relux-works/curator/internal/closure	9.958s
ok  	github.com/relux-works/curator/internal/config	0.850s
ok  	github.com/relux-works/curator/internal/devsub	3.901s
ok  	github.com/relux-works/curator/internal/envfiles	2.916s
ok  	github.com/relux-works/curator/internal/gitignore	4.466s
ok  	github.com/relux-works/curator/internal/gitops	6.921s
ok  	github.com/relux-works/curator/internal/globalbins	0.465s
ok  	github.com/relux-works/curator/internal/godriver	72.981s
ok  	github.com/relux-works/curator/internal/hashing	5.571s
ok  	github.com/relux-works/curator/internal/identifiers	5.428s
ok  	github.com/relux-works/curator/internal/identity	5.479s
ok  	github.com/relux-works/curator/internal/install	133.804s
ok  	github.com/relux-works/curator/internal/install/atomicity	130.796s
ok  	github.com/relux-works/curator/internal/interop	5.170s
ok  	github.com/relux-works/curator/internal/locale	5.806s
ok  	github.com/relux-works/curator/internal/managerlock	6.984s
ok  	github.com/relux-works/curator/internal/manifest	5.683s
ok  	github.com/relux-works/curator/internal/marker	6.401s
ok  	github.com/relux-works/curator/internal/mcp	4.128s
ok  	github.com/relux-works/curator/internal/protocoljson	4.204s
ok  	github.com/relux-works/curator/internal/registry	6.457s
ok  	github.com/relux-works/curator/internal/runtimestore	14.024s
ok  	github.com/relux-works/curator/internal/scopes	4.825s
ok  	github.com/relux-works/curator/internal/shell	4.507s
ok  	github.com/relux-works/curator/internal/skillcheck	2.906s
ok  	github.com/relux-works/curator/internal/skillspec	7.022s
ok  	github.com/relux-works/curator/internal/snapshot	4.447s
ok  	github.com/relux-works/curator/internal/staging	2.848s
ok  	github.com/relux-works/curator/internal/transaction	60.710s
ok  	github.com/relux-works/curator/internal/ui	3.353s
ok  	github.com/relux-works/curator/internal/verr	3.693s
ok  	github.com/relux-works/curator/internal/version	2.609s
ok  	github.com/relux-works/curator/internal/whitelist	3.170s
EXIT=0
