package	test	class	verdict	reason
internal/godriver	TestBuildFailsClosedWhenTheGoChildCannotStart	platform-control	tolerated-by-ledger	active-process-count-limit is available only on Windows in rc5-native-control-inventory-v1
internal/godriver	TestCacheIdentityMatchesTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestCandidateGoV1SourceAwareContract	root-unset	FATAL-wrong-class	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestCandidateRC4ToolchainArtifacts	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestCapabilityEvidenceCasesMatchTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestCapabilityEvidenceRecordMatchesTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestDeferredGuaranteesAndFailureBoundaryMatchTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestDriverRejectionClustersMapToStableCuratorErrors	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestFingerprintRejectsInvalidUnicodePath	host-capability	allowed-host-capability	filesystem rejects invalid UTF-8 names: open /var/folders/cz/jqbthtks55zbkpcdkfyk4bl80000gp/T/TestFingerprintRejectsInvalidUnicodePath880854722/001/ufffd: illegal byte sequence
internal/godriver	TestFixedEnvironmentAndFiveDirectArgvFormsVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestIdentityProtocolAndPackageInfluenceCodesMatchTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestMandatoryControlsMatchTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestNativeControlInventoryMatchesTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestPortableExecutionPolicyMatchesTheAcceptedVector	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestRealGoV1VendoredBuildIsBoundedAndNotLaunched	opt-in	allowed-opt-in	set CURATOR_REAL_GO_BUILD_TEST=1 for the bounded native go-v1 integration
internal/godriver	TestRealTrustedGoProbe	opt-in	allowed-opt-in	set CURATOR_REAL_GO_TEST=1 for the bounded native toolchain probe
internal/godriver	TestToolchainIdentityVectors	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
internal/godriver	TestValidPackageGraphVectors	root-unset	allowed-root-unset	CURATOR_CONFORMANCE_ROOT is not set
