ok  	github.com/relux-works/curator/cmd/curator	409.129s
ok  	github.com/relux-works/curator/internal/adapters	3.941s
ok  	github.com/relux-works/curator/internal/audit	1.861s
ok  	github.com/relux-works/curator/internal/buildcache	2.859s
ok  	github.com/relux-works/curator/internal/buildmeta	2.145s
ok  	github.com/relux-works/curator/internal/buildrepo	44.520s
ok  	github.com/relux-works/curator/internal/buildsource	1.110s
ok  	github.com/relux-works/curator/internal/capabilities	4.579s
ok  	github.com/relux-works/curator/internal/closure	6.428s
ok  	github.com/relux-works/curator/internal/config	5.356s
ok  	github.com/relux-works/curator/internal/devsub	4.258s
ok  	github.com/relux-works/curator/internal/envfiles	4.963s
ok  	github.com/relux-works/curator/internal/gitignore	3.043s
ok  	github.com/relux-works/curator/internal/gitops	3.897s
ok  	github.com/relux-works/curator/internal/globalbins	3.534s
ok  	github.com/relux-works/curator/internal/godriver	80.144s
ok  	github.com/relux-works/curator/internal/hashing	5.449s
ok  	github.com/relux-works/curator/internal/identifiers	4.999s
ok  	github.com/relux-works/curator/internal/identity	5.018s
ok  	github.com/relux-works/curator/internal/install	120.943s
ok  	github.com/relux-works/curator/internal/install/atomicity	120.575s
ok  	github.com/relux-works/curator/internal/interop	4.696s
ok  	github.com/relux-works/curator/internal/locale	4.737s
ok  	github.com/relux-works/curator/internal/managerlock	5.999s
ok  	github.com/relux-works/curator/internal/manifest	5.019s
ok  	github.com/relux-works/curator/internal/marker	5.411s
ok  	github.com/relux-works/curator/internal/mcp	5.002s
ok  	github.com/relux-works/curator/internal/protocoljson	4.912s
ok  	github.com/relux-works/curator/internal/registry	6.384s
ok  	github.com/relux-works/curator/internal/runtimestore	15.024s
ok  	github.com/relux-works/curator/internal/scopes	6.296s
ok  	github.com/relux-works/curator/internal/shell	5.824s
ok  	github.com/relux-works/curator/internal/skillcheck	4.490s
ok  	github.com/relux-works/curator/internal/skillspec	5.574s
ok  	github.com/relux-works/curator/internal/snapshot	5.097s
ok  	github.com/relux-works/curator/internal/staging	3.715s
ok  	github.com/relux-works/curator/internal/transaction	75.729s
ok  	github.com/relux-works/curator/internal/ui	4.228s
ok  	github.com/relux-works/curator/internal/verr	4.468s
ok  	github.com/relux-works/curator/internal/version	2.647s
ok  	github.com/relux-works/curator/internal/whitelist	3.288s
EXIT=0
