ok  	github.com/relux-works/curator/internal/adapters	0.525s
ok  	github.com/relux-works/curator/internal/audit	0.736s
ok  	github.com/relux-works/curator/internal/buildmeta	0.251s
ok  	github.com/relux-works/curator/internal/buildsource	1.048s
ok  	github.com/relux-works/curator/internal/capabilities	1.769s
ok  	github.com/relux-works/curator/internal/closure	5.361s
ok  	github.com/relux-works/curator/internal/config	2.841s
ok  	github.com/relux-works/curator/internal/devsub	1.254s
ok  	github.com/relux-works/curator/internal/envfiles	2.621s
ok  	github.com/relux-works/curator/internal/gitignore	2.258s
ok  	github.com/relux-works/curator/internal/gitops	3.001s
ok  	github.com/relux-works/curator/internal/globalbins	3.125s
