# github.com/relux-works/curator/internal/ui
internal/ui/ui_test.go:7:2: github.com/relux-works/skill-go-testing-tools/tuitestkit@v0.0.0-00010101000000-000000000000: replacement directory ./agents/skills/skill-go-testing-tools/tuitestkit does not exist
FAIL	github.com/relux-works/curator/internal/ui [setup failed]
ok  	github.com/relux-works/curator/cmd/curator	5.620s
ok  	github.com/relux-works/curator/internal/adapters	2.708s
ok  	github.com/relux-works/curator/internal/audit	4.498s
ok  	github.com/relux-works/curator/internal/buildcache	6.286s
ok  	github.com/relux-works/curator/internal/buildmeta	6.066s
ok  	github.com/relux-works/curator/internal/buildsource	4.129s
ok  	github.com/relux-works/curator/internal/capabilities	6.364s
ok  	github.com/relux-works/curator/internal/closure	5.466s
ok  	github.com/relux-works/curator/internal/config	2.024s
ok  	github.com/relux-works/curator/internal/devsub	2.336s
ok  	github.com/relux-works/curator/internal/envfiles	4.873s
ok  	github.com/relux-works/curator/internal/gitignore	3.598s
ok  	github.com/relux-works/curator/internal/gitops	7.448s
ok  	github.com/relux-works/curator/internal/globalbins	3.071s
ok  	github.com/relux-works/curator/internal/godriver	9.257s
ok  	github.com/relux-works/curator/internal/hashing	3.763s
ok  	github.com/relux-works/curator/internal/identifiers	5.331s
ok  	github.com/relux-works/curator/internal/identity	5.355s
ok  	github.com/relux-works/curator/internal/install	20.990s
ok  	github.com/relux-works/curator/internal/interop	5.261s
ok  	github.com/relux-works/curator/internal/locale	5.233s
ok  	github.com/relux-works/curator/internal/managerlock	14.280s
ok  	github.com/relux-works/curator/internal/manifest	5.435s
ok  	github.com/relux-works/curator/internal/marker	5.470s
ok  	github.com/relux-works/curator/internal/mcp	5.351s
ok  	github.com/relux-works/curator/internal/protocoljson	5.091s
ok  	github.com/relux-works/curator/internal/registry	6.555s
ok  	github.com/relux-works/curator/internal/runtimestore	13.426s
ok  	github.com/relux-works/curator/internal/scopes	5.517s
ok  	github.com/relux-works/curator/internal/shell	5.983s
ok  	github.com/relux-works/curator/internal/skillcheck	5.092s
ok  	github.com/relux-works/curator/internal/skillspec	5.432s
ok  	github.com/relux-works/curator/internal/snapshot	6.608s
ok  	github.com/relux-works/curator/internal/verr	5.359s
ok  	github.com/relux-works/curator/internal/version	5.340s
ok  	github.com/relux-works/curator/internal/whitelist	5.418s
FAIL
