ok  	github.com/relux-works/curator/cmd/curator	1.749s
ok  	github.com/relux-works/curator/internal/adapters	4.168s
ok  	github.com/relux-works/curator/internal/audit	5.578s
ok  	github.com/relux-works/curator/internal/buildcache	6.554s
ok  	github.com/relux-works/curator/internal/buildmeta	4.565s
ok  	github.com/relux-works/curator/internal/buildsource	4.864s
ok  	github.com/relux-works/curator/internal/capabilities	1.743s
ok  	github.com/relux-works/curator/internal/closure	5.615s
ok  	github.com/relux-works/curator/internal/config	3.840s
ok  	github.com/relux-works/curator/internal/devsub	2.452s
ok  	github.com/relux-works/curator/internal/envfiles	5.203s
ok  	github.com/relux-works/curator/internal/gitignore	6.771s
ok  	github.com/relux-works/curator/internal/gitops	6.974s
ok  	github.com/relux-works/curator/internal/globalbins	6.974s
ok  	github.com/relux-works/curator/internal/godriver	54.640s
ok  	github.com/relux-works/curator/internal/hashing	5.551s
ok  	github.com/relux-works/curator/internal/identifiers	5.216s
ok  	github.com/relux-works/curator/internal/identity	5.894s
ok  	github.com/relux-works/curator/internal/install	22.921s
ok  	github.com/relux-works/curator/internal/interop	5.115s
ok  	github.com/relux-works/curator/internal/locale	5.301s
ok  	github.com/relux-works/curator/internal/manifest	5.249s
ok  	github.com/relux-works/curator/internal/marker	5.317s
ok  	github.com/relux-works/curator/internal/mcp	5.310s
ok  	github.com/relux-works/curator/internal/protocoljson	5.282s
ok  	github.com/relux-works/curator/internal/registry	6.972s
ok  	github.com/relux-works/curator/internal/runtimestore	15.419s
ok  	github.com/relux-works/curator/internal/scopes	6.204s
ok  	github.com/relux-works/curator/internal/shell	6.553s
ok  	github.com/relux-works/curator/internal/skillcheck	6.683s
ok  	github.com/relux-works/curator/internal/skillspec	6.437s
ok  	github.com/relux-works/curator/internal/snapshot	7.471s
ok  	github.com/relux-works/curator/internal/ui	6.379s
ok  	github.com/relux-works/curator/internal/verr	6.304s
ok  	github.com/relux-works/curator/internal/version	6.199s
ok  	github.com/relux-works/curator/internal/whitelist	6.203s
