ok  	github.com/relux-works/curator/cmd/curator	2.522s
ok  	github.com/relux-works/curator/internal/adapters	2.862s
ok  	github.com/relux-works/curator/internal/audit	3.205s
ok  	github.com/relux-works/curator/internal/buildcache	2.387s
ok  	github.com/relux-works/curator/internal/buildmeta	2.551s
ok  	github.com/relux-works/curator/internal/buildsource	3.649s
ok  	github.com/relux-works/curator/internal/capabilities	5.729s
ok  	github.com/relux-works/curator/internal/closure	5.075s
ok  	github.com/relux-works/curator/internal/config	5.415s
ok  	github.com/relux-works/curator/internal/devsub	4.355s
ok  	github.com/relux-works/curator/internal/envfiles	3.985s
ok  	github.com/relux-works/curator/internal/gitignore	5.190s
ok  	github.com/relux-works/curator/internal/gitops	5.330s
ok  	github.com/relux-works/curator/internal/globalbins	6.074s
ok  	github.com/relux-works/curator/internal/godriver	56.203s
ok  	github.com/relux-works/curator/internal/hashing	6.266s
ok  	github.com/relux-works/curator/internal/identifiers	4.675s
ok  	github.com/relux-works/curator/internal/identity	4.886s
ok  	github.com/relux-works/curator/internal/install	21.506s
ok  	github.com/relux-works/curator/internal/interop	5.229s
ok  	github.com/relux-works/curator/internal/locale	6.012s
ok  	github.com/relux-works/curator/internal/manifest	5.902s
ok  	github.com/relux-works/curator/internal/marker	5.911s
ok  	github.com/relux-works/curator/internal/mcp	5.880s
ok  	github.com/relux-works/curator/internal/protocoljson	5.485s
ok  	github.com/relux-works/curator/internal/registry	7.092s
ok  	github.com/relux-works/curator/internal/runtimestore	15.219s
ok  	github.com/relux-works/curator/internal/scopes	6.211s
ok  	github.com/relux-works/curator/internal/shell	6.711s
ok  	github.com/relux-works/curator/internal/skillcheck	6.573s
ok  	github.com/relux-works/curator/internal/skillspec	6.269s
ok  	github.com/relux-works/curator/internal/snapshot	7.260s
ok  	github.com/relux-works/curator/internal/ui	6.206s
ok  	github.com/relux-works/curator/internal/verr	6.102s
ok  	github.com/relux-works/curator/internal/version	5.434s
ok  	github.com/relux-works/curator/internal/whitelist	5.457s
