ok  	github.com/relux-works/curator/cmd/curator	2.073s
ok  	github.com/relux-works/curator/internal/adapters	1.315s
ok  	github.com/relux-works/curator/internal/audit	0.551s
ok  	github.com/relux-works/curator/internal/buildcache	3.833s
ok  	github.com/relux-works/curator/internal/buildmeta	2.062s
ok  	github.com/relux-works/curator/internal/buildsource	4.449s
ok  	github.com/relux-works/curator/internal/capabilities	3.060s
ok  	github.com/relux-works/curator/internal/closure	8.454s
ok  	github.com/relux-works/curator/internal/config	0.984s
ok  	github.com/relux-works/curator/internal/devsub	2.390s
ok  	github.com/relux-works/curator/internal/envfiles	2.742s
ok  	github.com/relux-works/curator/internal/gitignore	4.274s
ok  	github.com/relux-works/curator/internal/gitops	4.471s
ok  	github.com/relux-works/curator/internal/globalbins	5.166s
ok  	github.com/relux-works/curator/internal/godriver	44.480s
ok  	github.com/relux-works/curator/internal/hashing	5.504s
ok  	github.com/relux-works/curator/internal/identifiers	5.535s
ok  	github.com/relux-works/curator/internal/identity	5.428s
ok  	github.com/relux-works/curator/internal/install	35.976s
ok  	github.com/relux-works/curator/internal/interop	5.084s
ok  	github.com/relux-works/curator/internal/locale	5.412s
ok  	github.com/relux-works/curator/internal/managerlock	6.372s
ok  	github.com/relux-works/curator/internal/manifest	5.513s
ok  	github.com/relux-works/curator/internal/marker	5.496s
ok  	github.com/relux-works/curator/internal/mcp	5.074s
ok  	github.com/relux-works/curator/internal/protocoljson	4.960s
ok  	github.com/relux-works/curator/internal/registry	6.440s
ok  	github.com/relux-works/curator/internal/runtimestore	16.906s
ok  	github.com/relux-works/curator/internal/scopes	5.116s
ok  	github.com/relux-works/curator/internal/shell	5.317s
ok  	github.com/relux-works/curator/internal/skillcheck	5.142s
ok  	github.com/relux-works/curator/internal/skillspec	5.198s
ok  	github.com/relux-works/curator/internal/snapshot	5.856s
ok  	github.com/relux-works/curator/internal/transaction	19.535s
ok  	github.com/relux-works/curator/internal/ui	4.709s
ok  	github.com/relux-works/curator/internal/verr	4.944s
ok  	github.com/relux-works/curator/internal/version	5.029s
ok  	github.com/relux-works/curator/internal/whitelist	5.250s
