ok  	github.com/relux-works/curator/cmd/curator	3.320s
ok  	github.com/relux-works/curator/internal/adapters	5.374s
ok  	github.com/relux-works/curator/internal/audit	0.900s
ok  	github.com/relux-works/curator/internal/buildcache	2.004s
ok  	github.com/relux-works/curator/internal/buildmeta	3.685s
ok  	github.com/relux-works/curator/internal/buildsource	3.359s
ok  	github.com/relux-works/curator/internal/capabilities	4.023s
ok  	github.com/relux-works/curator/internal/closure	4.865s
ok  	github.com/relux-works/curator/internal/config	0.513s
ok  	github.com/relux-works/curator/internal/devsub	4.691s
ok  	github.com/relux-works/curator/internal/envfiles	4.370s
ok  	github.com/relux-works/curator/internal/gitignore	2.766s
ok  	github.com/relux-works/curator/internal/gitops	2.888s
ok  	github.com/relux-works/curator/internal/globalbins	5.725s
ok  	github.com/relux-works/curator/internal/godriver	41.505s
ok  	github.com/relux-works/curator/internal/hashing	1.926s
ok  	github.com/relux-works/curator/internal/identifiers	5.461s
ok  	github.com/relux-works/curator/internal/identity	5.409s
ok  	github.com/relux-works/curator/internal/install	33.598s
ok  	github.com/relux-works/curator/internal/interop	4.884s
ok  	github.com/relux-works/curator/internal/locale	4.614s
ok  	github.com/relux-works/curator/internal/managerlock	5.655s
ok  	github.com/relux-works/curator/internal/manifest	4.752s
ok  	github.com/relux-works/curator/internal/marker	4.989s
ok  	github.com/relux-works/curator/internal/mcp	5.042s
ok  	github.com/relux-works/curator/internal/protocoljson	5.084s
ok  	github.com/relux-works/curator/internal/registry	6.391s
ok  	github.com/relux-works/curator/internal/runtimestore	15.858s
ok  	github.com/relux-works/curator/internal/scopes	5.502s
ok  	github.com/relux-works/curator/internal/shell	6.047s
ok  	github.com/relux-works/curator/internal/skillcheck	5.865s
ok  	github.com/relux-works/curator/internal/skillspec	5.965s
ok  	github.com/relux-works/curator/internal/snapshot	7.083s
ok  	github.com/relux-works/curator/internal/transaction	19.481s
ok  	github.com/relux-works/curator/internal/ui	5.666s
ok  	github.com/relux-works/curator/internal/verr	5.811s
ok  	github.com/relux-works/curator/internal/version	5.773s
ok  	github.com/relux-works/curator/internal/whitelist	5.963s
