ok  	github.com/relux-works/curator/cmd/curator	4.019s
ok  	github.com/relux-works/curator/internal/adapters	4.043s
ok  	github.com/relux-works/curator/internal/audit	1.353s
ok  	github.com/relux-works/curator/internal/buildcache	2.597s
ok  	github.com/relux-works/curator/internal/buildmeta	0.360s
ok  	github.com/relux-works/curator/internal/buildsource	2.416s
ok  	github.com/relux-works/curator/internal/capabilities	3.706s
ok  	github.com/relux-works/curator/internal/closure	6.324s
ok  	github.com/relux-works/curator/internal/config	1.691s
ok  	github.com/relux-works/curator/internal/devsub	0.681s
ok  	github.com/relux-works/curator/internal/envfiles	1.060s
ok  	github.com/relux-works/curator/internal/gitignore	3.567s
ok  	github.com/relux-works/curator/internal/gitops	4.926s
ok  	github.com/relux-works/curator/internal/globalbins	5.101s
ok  	github.com/relux-works/curator/internal/godriver	39.958s
ok  	github.com/relux-works/curator/internal/hashing	5.396s
ok  	github.com/relux-works/curator/internal/identifiers	5.341s
ok  	github.com/relux-works/curator/internal/identity	5.340s
ok  	github.com/relux-works/curator/internal/install	296.365s
ok  	github.com/relux-works/curator/internal/interop	5.288s
ok  	github.com/relux-works/curator/internal/locale	5.396s
ok  	github.com/relux-works/curator/internal/managerlock	5.882s
ok  	github.com/relux-works/curator/internal/manifest	5.153s
ok  	github.com/relux-works/curator/internal/marker	4.572s
ok  	github.com/relux-works/curator/internal/mcp	4.682s
ok  	github.com/relux-works/curator/internal/protocoljson	4.706s
ok  	github.com/relux-works/curator/internal/registry	6.370s
ok  	github.com/relux-works/curator/internal/runtimestore	13.360s
ok  	github.com/relux-works/curator/internal/scopes	5.127s
ok  	github.com/relux-works/curator/internal/shell	5.315s
ok  	github.com/relux-works/curator/internal/skillcheck	5.157s
ok  	github.com/relux-works/curator/internal/skillspec	5.246s
ok  	github.com/relux-works/curator/internal/snapshot	6.738s
?   	github.com/relux-works/curator/internal/staging	[no test files]
ok  	github.com/relux-works/curator/internal/transaction	24.233s
ok  	github.com/relux-works/curator/internal/ui	5.310s
ok  	github.com/relux-works/curator/internal/verr	4.992s
ok  	github.com/relux-works/curator/internal/version	4.920s
ok  	github.com/relux-works/curator/internal/whitelist	5.101s
