ok  	github.com/relux-works/curator/cmd/curator	5.168s
ok  	github.com/relux-works/curator/internal/adapters	2.081s
ok  	github.com/relux-works/curator/internal/audit	3.351s
ok  	github.com/relux-works/curator/internal/buildcache	2.290s
ok  	github.com/relux-works/curator/internal/buildmeta	1.817s
ok  	github.com/relux-works/curator/internal/buildsource	2.269s
ok  	github.com/relux-works/curator/internal/capabilities	0.466s
ok  	github.com/relux-works/curator/internal/closure	6.365s
ok  	github.com/relux-works/curator/internal/config	0.468s
ok  	github.com/relux-works/curator/internal/devsub	3.131s
ok  	github.com/relux-works/curator/internal/envfiles	0.734s
ok  	github.com/relux-works/curator/internal/gitignore	2.062s
ok  	github.com/relux-works/curator/internal/gitops	2.631s
ok  	github.com/relux-works/curator/internal/globalbins	2.924s
ok  	github.com/relux-works/curator/internal/godriver	36.662s
ok  	github.com/relux-works/curator/internal/hashing	2.465s
ok  	github.com/relux-works/curator/internal/identifiers	3.316s
ok  	github.com/relux-works/curator/internal/identity	3.506s
ok  	github.com/relux-works/curator/internal/install	324.265s
ok  	github.com/relux-works/curator/internal/interop	2.956s
ok  	github.com/relux-works/curator/internal/locale	3.059s
ok  	github.com/relux-works/curator/internal/managerlock	4.142s
ok  	github.com/relux-works/curator/internal/manifest	3.293s
ok  	github.com/relux-works/curator/internal/marker	3.546s
ok  	github.com/relux-works/curator/internal/mcp	3.509s
ok  	github.com/relux-works/curator/internal/protocoljson	3.563s
ok  	github.com/relux-works/curator/internal/registry	4.842s
ok  	github.com/relux-works/curator/internal/runtimestore	11.482s
ok  	github.com/relux-works/curator/internal/scopes	3.514s
ok  	github.com/relux-works/curator/internal/shell	3.483s
ok  	github.com/relux-works/curator/internal/skillcheck	3.366s
ok  	github.com/relux-works/curator/internal/skillspec	3.102s
ok  	github.com/relux-works/curator/internal/snapshot	4.336s
?   	github.com/relux-works/curator/internal/staging	[no test files]
ok  	github.com/relux-works/curator/internal/transaction	22.388s
ok  	github.com/relux-works/curator/internal/ui	3.194s
ok  	github.com/relux-works/curator/internal/verr	3.149s
ok  	github.com/relux-works/curator/internal/version	3.240s
ok  	github.com/relux-works/curator/internal/whitelist	3.268s
