ok  	github.com/relux-works/curator/cmd/curator	2.934s
ok  	github.com/relux-works/curator/internal/adapters	0.399s
ok  	github.com/relux-works/curator/internal/audit	1.639s
ok  	github.com/relux-works/curator/internal/buildcache	2.824s
ok  	github.com/relux-works/curator/internal/buildmeta	1.273s
ok  	github.com/relux-works/curator/internal/buildsource	3.929s
ok  	github.com/relux-works/curator/internal/capabilities	2.274s
ok  	github.com/relux-works/curator/internal/closure	9.281s
ok  	github.com/relux-works/curator/internal/config	4.938s
ok  	github.com/relux-works/curator/internal/devsub	3.268s
ok  	github.com/relux-works/curator/internal/envfiles	5.256s
ok  	github.com/relux-works/curator/internal/gitignore	3.748s
ok  	github.com/relux-works/curator/internal/gitops	4.814s
ok  	github.com/relux-works/curator/internal/globalbins	2.951s
ok  	github.com/relux-works/curator/internal/godriver	43.746s
ok  	github.com/relux-works/curator/internal/hashing	2.623s
ok  	github.com/relux-works/curator/internal/identifiers	5.425s
ok  	github.com/relux-works/curator/internal/identity	4.861s
ok  	github.com/relux-works/curator/internal/install	212.703s
ok  	github.com/relux-works/curator/internal/install/atomicity	360.067s
ok  	github.com/relux-works/curator/internal/interop	4.554s
ok  	github.com/relux-works/curator/internal/locale	4.794s
ok  	github.com/relux-works/curator/internal/managerlock	5.945s
ok  	github.com/relux-works/curator/internal/manifest	5.306s
ok  	github.com/relux-works/curator/internal/marker	5.423s
ok  	github.com/relux-works/curator/internal/mcp	5.197s
ok  	github.com/relux-works/curator/internal/protocoljson	5.327s
ok  	github.com/relux-works/curator/internal/registry	6.493s
ok  	github.com/relux-works/curator/internal/runtimestore	13.731s
ok  	github.com/relux-works/curator/internal/scopes	5.356s
ok  	github.com/relux-works/curator/internal/shell	5.254s
ok  	github.com/relux-works/curator/internal/skillcheck	5.046s
ok  	github.com/relux-works/curator/internal/skillspec	4.388s
ok  	github.com/relux-works/curator/internal/snapshot	5.838s
?   	github.com/relux-works/curator/internal/staging	[no test files]
ok  	github.com/relux-works/curator/internal/transaction	29.167s
ok  	github.com/relux-works/curator/internal/ui	3.824s
ok  	github.com/relux-works/curator/internal/verr	4.001s
ok  	github.com/relux-works/curator/internal/version	4.252s
ok  	github.com/relux-works/curator/internal/whitelist	4.458s
