go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	1.356s
ok  	github.com/relux-works/curator/internal/adapters	5.891s
ok  	github.com/relux-works/curator/internal/audit	2.379s
ok  	github.com/relux-works/curator/internal/buildcache	2.059s
ok  	github.com/relux-works/curator/internal/buildmeta	2.024s
ok  	github.com/relux-works/curator/internal/buildsource	5.185s
ok  	github.com/relux-works/curator/internal/capabilities	1.303s
ok  	github.com/relux-works/curator/internal/closure	8.284s
ok  	github.com/relux-works/curator/internal/config	0.584s
ok  	github.com/relux-works/curator/internal/devsub	3.767s
ok  	github.com/relux-works/curator/internal/envfiles	4.141s
ok  	github.com/relux-works/curator/internal/gitignore	3.599s
ok  	github.com/relux-works/curator/internal/gitops	6.274s
ok  	github.com/relux-works/curator/internal/globalbins	2.730s
ok  	github.com/relux-works/curator/internal/hashing	4.821s
ok  	github.com/relux-works/curator/internal/identifiers	3.068s
ok  	github.com/relux-works/curator/internal/identity	5.515s
ok  	github.com/relux-works/curator/internal/install	21.217s
ok  	github.com/relux-works/curator/internal/interop	5.463s
ok  	github.com/relux-works/curator/internal/locale	5.276s
ok  	github.com/relux-works/curator/internal/managerlock	6.444s
ok  	github.com/relux-works/curator/internal/manifest	5.613s
ok  	github.com/relux-works/curator/internal/marker	5.604s
ok  	github.com/relux-works/curator/internal/mcp	5.637s
ok  	github.com/relux-works/curator/internal/protocoljson	5.449s
ok  	github.com/relux-works/curator/internal/registry	6.902s
ok  	github.com/relux-works/curator/internal/runtimestore	14.543s
ok  	github.com/relux-works/curator/internal/scopes	5.403s
ok  	github.com/relux-works/curator/internal/shell	5.604s
ok  	github.com/relux-works/curator/internal/skillcheck	5.014s
ok  	github.com/relux-works/curator/internal/skillspec	5.128s
ok  	github.com/relux-works/curator/internal/snapshot	7.179s
ok  	github.com/relux-works/curator/internal/transaction	7.037s
ok  	github.com/relux-works/curator/internal/ui	5.249s
ok  	github.com/relux-works/curator/internal/verr	4.941s
ok  	github.com/relux-works/curator/internal/version	5.058s
ok  	github.com/relux-works/curator/internal/whitelist	5.261s
