go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	1.802s
ok  	github.com/relux-works/curator/internal/adapters	(cached)
ok  	github.com/relux-works/curator/internal/audit	(cached)
ok  	github.com/relux-works/curator/internal/buildcache	(cached)
ok  	github.com/relux-works/curator/internal/buildmeta	(cached)
ok  	github.com/relux-works/curator/internal/buildsource	(cached)
ok  	github.com/relux-works/curator/internal/capabilities	(cached)
ok  	github.com/relux-works/curator/internal/closure	5.619s
ok  	github.com/relux-works/curator/internal/config	(cached)
ok  	github.com/relux-works/curator/internal/devsub	(cached)
ok  	github.com/relux-works/curator/internal/envfiles	0.389s
ok  	github.com/relux-works/curator/internal/gitignore	0.906s
ok  	github.com/relux-works/curator/internal/gitops	1.769s
ok  	github.com/relux-works/curator/internal/globalbins	(cached)
ok  	github.com/relux-works/curator/internal/hashing	(cached)
ok  	github.com/relux-works/curator/internal/identifiers	(cached)
ok  	github.com/relux-works/curator/internal/identity	(cached)
ok  	github.com/relux-works/curator/internal/install	10.671s
ok  	github.com/relux-works/curator/internal/interop	(cached)
ok  	github.com/relux-works/curator/internal/locale	(cached)
ok  	github.com/relux-works/curator/internal/managerlock	(cached)
ok  	github.com/relux-works/curator/internal/manifest	(cached)
ok  	github.com/relux-works/curator/internal/marker	(cached)
ok  	github.com/relux-works/curator/internal/mcp	1.634s
ok  	github.com/relux-works/curator/internal/protocoljson	(cached)
ok  	github.com/relux-works/curator/internal/registry	(cached)
ok  	github.com/relux-works/curator/internal/runtimestore	(cached)
ok  	github.com/relux-works/curator/internal/scopes	(cached)
ok  	github.com/relux-works/curator/internal/shell	2.171s
ok  	github.com/relux-works/curator/internal/skillcheck	(cached)
ok  	github.com/relux-works/curator/internal/skillspec	(cached)
ok  	github.com/relux-works/curator/internal/snapshot	2.925s
ok  	github.com/relux-works/curator/internal/transaction	(cached)
ok  	github.com/relux-works/curator/internal/ui	(cached)
ok  	github.com/relux-works/curator/internal/verr	(cached)
ok  	github.com/relux-works/curator/internal/version	(cached)
ok  	github.com/relux-works/curator/internal/whitelist	(cached)
