ok  	github.com/relux-works/curator/cmd/curator	8.312s
ok  	github.com/relux-works/curator/internal/adapters	1.640s
ok  	github.com/relux-works/curator/internal/audit	7.476s
ok  	github.com/relux-works/curator/internal/buildcache	4.572s
ok  	github.com/relux-works/curator/internal/buildmeta	3.371s
ok  	github.com/relux-works/curator/internal/buildsource	2.876s
ok  	github.com/relux-works/curator/internal/capabilities	1.977s
ok  	github.com/relux-works/curator/internal/closure	7.825s
ok  	github.com/relux-works/curator/internal/config	4.256s
ok  	github.com/relux-works/curator/internal/devsub	4.978s
ok  	github.com/relux-works/curator/internal/envfiles	6.133s
ok  	github.com/relux-works/curator/internal/gitignore	5.586s
ok  	github.com/relux-works/curator/internal/gitops	7.877s
ok  	github.com/relux-works/curator/internal/globalbins	6.559s
ok  	github.com/relux-works/curator/internal/hashing	5.742s
ok  	github.com/relux-works/curator/internal/identifiers	4.589s
ok  	github.com/relux-works/curator/internal/identity	9.130s
ok  	github.com/relux-works/curator/internal/install	33.452s
ok  	github.com/relux-works/curator/internal/interop	9.798s
ok  	github.com/relux-works/curator/internal/locale	9.893s
ok  	github.com/relux-works/curator/internal/managerlock	20.599s
ok  	github.com/relux-works/curator/internal/manifest	9.662s
ok  	github.com/relux-works/curator/internal/marker	10.417s
ok  	github.com/relux-works/curator/internal/mcp	10.171s
ok  	github.com/relux-works/curator/internal/protocoljson	9.925s
ok  	github.com/relux-works/curator/internal/registry	11.522s
ok  	github.com/relux-works/curator/internal/runtimestore	21.552s
ok  	github.com/relux-works/curator/internal/scopes	10.228s
ok  	github.com/relux-works/curator/internal/shell	9.960s
ok  	github.com/relux-works/curator/internal/skillcheck	9.767s
ok  	github.com/relux-works/curator/internal/skillspec	10.283s
ok  	github.com/relux-works/curator/internal/snapshot	11.947s
ok  	github.com/relux-works/curator/internal/transaction	40.523s
ok  	github.com/relux-works/curator/internal/ui	6.611s
ok  	github.com/relux-works/curator/internal/verr	6.678s
ok  	github.com/relux-works/curator/internal/version	6.143s
ok  	github.com/relux-works/curator/internal/whitelist	5.836s
