go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	8.221s
ok  	github.com/relux-works/curator/internal/adapters	(cached)
ok  	github.com/relux-works/curator/internal/audit	(cached)
ok  	github.com/relux-works/curator/internal/buildcache	(cached)
ok  	github.com/relux-works/curator/internal/buildmeta	(cached)
ok  	github.com/relux-works/curator/internal/buildsource	(cached)
ok  	github.com/relux-works/curator/internal/capabilities	(cached)
ok  	github.com/relux-works/curator/internal/closure	13.793s
ok  	github.com/relux-works/curator/internal/config	(cached)
ok  	github.com/relux-works/curator/internal/devsub	(cached)
ok  	github.com/relux-works/curator/internal/envfiles	6.722s
ok  	github.com/relux-works/curator/internal/gitignore	7.305s
ok  	github.com/relux-works/curator/internal/gitops	8.260s
ok  	github.com/relux-works/curator/internal/globalbins	(cached)
ok  	github.com/relux-works/curator/internal/hashing	(cached)
ok  	github.com/relux-works/curator/internal/identifiers	(cached)
ok  	github.com/relux-works/curator/internal/identity	(cached)
ok  	github.com/relux-works/curator/internal/install	31.867s
ok  	github.com/relux-works/curator/internal/interop	(cached)
ok  	github.com/relux-works/curator/internal/locale	(cached)
ok  	github.com/relux-works/curator/internal/managerlock	(cached)
ok  	github.com/relux-works/curator/internal/manifest	(cached)
ok  	github.com/relux-works/curator/internal/marker	(cached)
ok  	github.com/relux-works/curator/internal/mcp	7.871s
ok  	github.com/relux-works/curator/internal/protocoljson	(cached)
ok  	github.com/relux-works/curator/internal/registry	(cached)
ok  	github.com/relux-works/curator/internal/runtimestore	(cached)
ok  	github.com/relux-works/curator/internal/scopes	(cached)
ok  	github.com/relux-works/curator/internal/shell	8.332s
ok  	github.com/relux-works/curator/internal/skillcheck	(cached)
ok  	github.com/relux-works/curator/internal/skillspec	(cached)
ok  	github.com/relux-works/curator/internal/snapshot	10.911s
ok  	github.com/relux-works/curator/internal/transaction	27.288s
ok  	github.com/relux-works/curator/internal/ui	(cached)
ok  	github.com/relux-works/curator/internal/verr	(cached)
ok  	github.com/relux-works/curator/internal/version	(cached)
ok  	github.com/relux-works/curator/internal/whitelist	(cached)
