ok  	github.com/relux-works/curator/cmd/curator	0.030s
ok  	github.com/relux-works/curator/internal/adapters	0.047s
ok  	github.com/relux-works/curator/internal/audit	0.009s
ok  	github.com/relux-works/curator/internal/buildcache	0.021s
ok  	github.com/relux-works/curator/internal/buildmeta	0.046s
ok  	github.com/relux-works/curator/internal/buildsource	0.020s
ok  	github.com/relux-works/curator/internal/capabilities	0.048s
ok  	github.com/relux-works/curator/internal/closure	0.034s
ok  	github.com/relux-works/curator/internal/config	0.044s
ok  	github.com/relux-works/curator/internal/devsub	0.016s
ok  	github.com/relux-works/curator/internal/envfiles	0.046s
ok  	github.com/relux-works/curator/internal/gitignore	0.037s
ok  	github.com/relux-works/curator/internal/gitops	0.049s
ok  	github.com/relux-works/curator/internal/globalbins	0.010s
ok  	github.com/relux-works/curator/internal/hashing	0.014s
ok  	github.com/relux-works/curator/internal/identifiers	0.012s
ok  	github.com/relux-works/curator/internal/identity	0.031s
ok  	github.com/relux-works/curator/internal/install	0.045s
ok  	github.com/relux-works/curator/internal/interop	0.078s
ok  	github.com/relux-works/curator/internal/locale	0.021s
ok  	github.com/relux-works/curator/internal/managerlock	0.052s
ok  	github.com/relux-works/curator/internal/manifest	0.035s
ok  	github.com/relux-works/curator/internal/marker	0.020s
ok  	github.com/relux-works/curator/internal/mcp	0.064s
ok  	github.com/relux-works/curator/internal/protocoljson	0.088s
ok  	github.com/relux-works/curator/internal/registry	0.061s
ok  	github.com/relux-works/curator/internal/runtimestore	0.043s
ok  	github.com/relux-works/curator/internal/scopes	0.063s
ok  	github.com/relux-works/curator/internal/shell	0.074s
ok  	github.com/relux-works/curator/internal/skillcheck	0.022s
ok  	github.com/relux-works/curator/internal/skillspec	0.031s
ok  	github.com/relux-works/curator/internal/snapshot	0.048s
ok  	github.com/relux-works/curator/internal/transaction	0.005s
ok  	github.com/relux-works/curator/internal/ui	0.006s
ok  	github.com/relux-works/curator/internal/verr	0.005s
ok  	github.com/relux-works/curator/internal/version	0.007s
ok  	github.com/relux-works/curator/internal/whitelist	0.005s
