go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	3.981s
ok  	github.com/relux-works/curator/internal/adapters	4.021s
ok  	github.com/relux-works/curator/internal/audit	2.849s
ok  	github.com/relux-works/curator/internal/buildmeta	1.436s
ok  	github.com/relux-works/curator/internal/buildsource	5.755s
ok  	github.com/relux-works/curator/internal/capabilities	4.349s
ok  	github.com/relux-works/curator/internal/closure	5.884s
ok  	github.com/relux-works/curator/internal/config	0.778s
ok  	github.com/relux-works/curator/internal/devsub	1.783s
ok  	github.com/relux-works/curator/internal/envfiles	0.432s
ok  	github.com/relux-works/curator/internal/gitignore	3.375s
ok  	github.com/relux-works/curator/internal/gitops	2.892s
ok  	github.com/relux-works/curator/internal/globalbins	5.058s
ok  	github.com/relux-works/curator/internal/hashing	1.079s
ok  	github.com/relux-works/curator/internal/identifiers	4.692s
ok  	github.com/relux-works/curator/internal/identity	5.389s
ok  	github.com/relux-works/curator/internal/install	19.651s
ok  	github.com/relux-works/curator/internal/interop	5.465s
ok  	github.com/relux-works/curator/internal/locale	5.619s
ok  	github.com/relux-works/curator/internal/manifest	5.590s
ok  	github.com/relux-works/curator/internal/marker	5.447s
ok  	github.com/relux-works/curator/internal/mcp	4.893s
ok  	github.com/relux-works/curator/internal/protocoljson	5.163s
ok  	github.com/relux-works/curator/internal/registry	(cached)
ok  	github.com/relux-works/curator/internal/runtimestore	10.302s
ok  	github.com/relux-works/curator/internal/scopes	4.826s
ok  	github.com/relux-works/curator/internal/shell	5.345s
ok  	github.com/relux-works/curator/internal/skillcheck	5.177s
ok  	github.com/relux-works/curator/internal/skillspec	5.188s
ok  	github.com/relux-works/curator/internal/snapshot	(cached)
ok  	github.com/relux-works/curator/internal/ui	4.685s
ok  	github.com/relux-works/curator/internal/verr	4.923s
ok  	github.com/relux-works/curator/internal/version	5.171s
ok  	github.com/relux-works/curator/internal/whitelist	5.351s
