ok  	github.com/relux-works/curator/cmd/curator	7.688s
ok  	github.com/relux-works/curator/internal/adapters	8.737s
ok  	github.com/relux-works/curator/internal/audit	8.383s
ok  	github.com/relux-works/curator/internal/buildcache	9.942s
ok  	github.com/relux-works/curator/internal/buildmeta	10.102s
ok  	github.com/relux-works/curator/internal/buildsource	9.112s
ok  	github.com/relux-works/curator/internal/capabilities	12.153s
ok  	github.com/relux-works/curator/internal/closure	11.198s
ok  	github.com/relux-works/curator/internal/config	8.034s
ok  	github.com/relux-works/curator/internal/devsub	9.707s
ok  	github.com/relux-works/curator/internal/envfiles	11.819s
ok  	github.com/relux-works/curator/internal/gitignore	10.941s
ok  	github.com/relux-works/curator/internal/gitops	12.152s
ok  	github.com/relux-works/curator/internal/globalbins	10.420s
ok  	github.com/relux-works/curator/internal/hashing	12.515s
ok  	github.com/relux-works/curator/internal/identifiers	11.101s
ok  	github.com/relux-works/curator/internal/identity	10.618s
ok  	github.com/relux-works/curator/internal/install	29.719s
ok  	github.com/relux-works/curator/internal/interop	10.667s
ok  	github.com/relux-works/curator/internal/locale	10.954s
ok  	github.com/relux-works/curator/internal/manifest	10.953s
ok  	github.com/relux-works/curator/internal/marker	10.700s
ok  	github.com/relux-works/curator/internal/mcp	10.811s
ok  	github.com/relux-works/curator/internal/protocoljson	11.000s
ok  	github.com/relux-works/curator/internal/registry	12.324s
ok  	github.com/relux-works/curator/internal/runtimestore	19.791s
ok  	github.com/relux-works/curator/internal/scopes	11.137s
ok  	github.com/relux-works/curator/internal/shell	11.634s
ok  	github.com/relux-works/curator/internal/skillcheck	11.579s
ok  	github.com/relux-works/curator/internal/skillspec	11.572s
ok  	github.com/relux-works/curator/internal/snapshot	13.089s
ok  	github.com/relux-works/curator/internal/ui	12.174s
ok  	github.com/relux-works/curator/internal/verr	7.676s
ok  	github.com/relux-works/curator/internal/version	7.454s
ok  	github.com/relux-works/curator/internal/whitelist	7.366s
