go vet ./...
go test ./...
ok  	github.com/relux-works/curator/cmd/curator	1.026s
ok  	github.com/relux-works/curator/internal/adapters	4.917s
ok  	github.com/relux-works/curator/internal/audit	2.015s
ok  	github.com/relux-works/curator/internal/buildcache	1.373s
ok  	github.com/relux-works/curator/internal/buildmeta	5.620s
ok  	github.com/relux-works/curator/internal/buildsource	1.667s
ok  	github.com/relux-works/curator/internal/capabilities	2.344s
ok  	github.com/relux-works/curator/internal/closure	6.074s
ok  	github.com/relux-works/curator/internal/config	3.067s
ok  	github.com/relux-works/curator/internal/devsub	3.390s
ok  	github.com/relux-works/curator/internal/envfiles	1.340s
ok  	github.com/relux-works/curator/internal/gitignore	4.242s
ok  	github.com/relux-works/curator/internal/gitops	6.714s
ok  	github.com/relux-works/curator/internal/globalbins	5.281s
ok  	github.com/relux-works/curator/internal/hashing	3.727s
ok  	github.com/relux-works/curator/internal/identifiers	4.556s
ok  	github.com/relux-works/curator/internal/identity	10.678s
ok  	github.com/relux-works/curator/internal/install	35.040s
ok  	github.com/relux-works/curator/internal/interop	11.053s
ok  	github.com/relux-works/curator/internal/locale	11.211s
ok  	github.com/relux-works/curator/internal/manifest	11.222s
ok  	github.com/relux-works/curator/internal/marker	11.221s
ok  	github.com/relux-works/curator/internal/mcp	10.847s
ok  	github.com/relux-works/curator/internal/protocoljson	10.908s
ok  	github.com/relux-works/curator/internal/registry	12.174s
ok  	github.com/relux-works/curator/internal/runtimestore	25.165s
ok  	github.com/relux-works/curator/internal/scopes	10.773s
ok  	github.com/relux-works/curator/internal/shell	10.955s
ok  	github.com/relux-works/curator/internal/skillcheck	10.721s
ok  	github.com/relux-works/curator/internal/skillspec	10.750s
ok  	github.com/relux-works/curator/internal/snapshot	11.737s
ok  	github.com/relux-works/curator/internal/ui	10.305s
ok  	github.com/relux-works/curator/internal/verr	10.185s
ok  	github.com/relux-works/curator/internal/version	10.855s
ok  	github.com/relux-works/curator/internal/whitelist	11.553s
