ok  	github.com/relux-works/curator/internal/runtimestore	10.527s
ok  	github.com/relux-works/curator/internal/install	34.532s
ok  	github.com/relux-works/curator/internal/scopes	1.128s
ok  	github.com/relux-works/curator/cmd/curator	15.298s
ok  	github.com/relux-works/curator/internal/buildcache	2.713s
ok  	github.com/relux-works/curator/internal/buildsource	1.790s
ok  	github.com/relux-works/curator/internal/buildmeta	2.117s
ok  	github.com/relux-works/curator/internal/godriver	18.720s
ok  	github.com/relux-works/curator/internal/skillcheck	3.172s
ok  	github.com/relux-works/curator/internal/skillspec	3.898s
ok  	github.com/relux-works/curator/internal/whitelist	3.501s
ok  	github.com/relux-works/curator/internal/interop	4.211s
