ok  	github.com/relux-works/curator/cmd/curator	1.246s
ok  	github.com/relux-works/curator/internal/adapters	1.143s
ok  	github.com/relux-works/curator/internal/audit	1.464s
ok  	github.com/relux-works/curator/internal/capabilities	3.019s
ok  	github.com/relux-works/curator/internal/closure	10.536s
ok  	github.com/relux-works/curator/internal/config	2.236s
ok  	github.com/relux-works/curator/internal/devsub	2.386s
ok  	github.com/relux-works/curator/internal/envfiles	1.831s
ok  	github.com/relux-works/curator/internal/gitignore	4.073s
ok  	github.com/relux-works/curator/internal/gitops	4.095s
ok  	github.com/relux-works/curator/internal/hashing	3.394s
ok  	github.com/relux-works/curator/internal/identifiers	5.093s
ok  	github.com/relux-works/curator/internal/identity	4.765s
ok  	github.com/relux-works/curator/internal/install	16.341s
ok  	github.com/relux-works/curator/internal/interop	5.722s
ok  	github.com/relux-works/curator/internal/locale	6.112s
ok  	github.com/relux-works/curator/internal/manifest	5.363s
ok  	github.com/relux-works/curator/internal/marker	5.513s
ok  	github.com/relux-works/curator/internal/mcp	5.634s
ok  	github.com/relux-works/curator/internal/protocoljson	5.621s
ok  	github.com/relux-works/curator/internal/registry	5.559s
ok  	github.com/relux-works/curator/internal/runtimestore	5.930s
ok  	github.com/relux-works/curator/internal/scopes	5.674s
ok  	github.com/relux-works/curator/internal/shell	5.737s
ok  	github.com/relux-works/curator/internal/skillcheck	5.486s
ok  	github.com/relux-works/curator/internal/skillspec	5.927s
ok  	github.com/relux-works/curator/internal/snapshot	5.662s
ok  	github.com/relux-works/curator/internal/ui	5.468s
ok  	github.com/relux-works/curator/internal/verr	5.119s
ok  	github.com/relux-works/curator/internal/version	5.064s
ok  	github.com/relux-works/curator/internal/whitelist	5.046s
0 issues.
