ok  	github.com/relux-works/curator/cmd/curator	2.788s
ok  	github.com/relux-works/curator/internal/adapters	2.162s
ok  	github.com/relux-works/curator/internal/audit	0.781s
ok  	github.com/relux-works/curator/internal/capabilities	1.412s
ok  	github.com/relux-works/curator/internal/closure	5.605s
ok  	github.com/relux-works/curator/internal/config	3.555s
ok  	github.com/relux-works/curator/internal/devsub	0.352s
ok  	github.com/relux-works/curator/internal/envfiles	4.255s
ok  	github.com/relux-works/curator/internal/gitignore	1.264s
ok  	github.com/relux-works/curator/internal/gitops	2.472s
ok  	github.com/relux-works/curator/internal/hashing	2.858s
ok  	github.com/relux-works/curator/internal/identifiers	4.558s
ok  	github.com/relux-works/curator/internal/identity	3.907s
ok  	github.com/relux-works/curator/internal/install	9.282s
ok  	github.com/relux-works/curator/internal/interop	5.212s
ok  	github.com/relux-works/curator/internal/locale	5.539s
ok  	github.com/relux-works/curator/internal/manifest	5.539s
ok  	github.com/relux-works/curator/internal/marker	5.436s
ok  	github.com/relux-works/curator/internal/mcp	5.664s
ok  	github.com/relux-works/curator/internal/protocoljson	5.863s
ok  	github.com/relux-works/curator/internal/registry	5.334s
ok  	github.com/relux-works/curator/internal/runtimestore	5.499s
ok  	github.com/relux-works/curator/internal/scopes	5.527s
ok  	github.com/relux-works/curator/internal/shell	5.805s
ok  	github.com/relux-works/curator/internal/skillcheck	5.483s
ok  	github.com/relux-works/curator/internal/skillspec	5.359s
ok  	github.com/relux-works/curator/internal/snapshot	5.428s
ok  	github.com/relux-works/curator/internal/ui	5.286s
ok  	github.com/relux-works/curator/internal/verr	4.902s
ok  	github.com/relux-works/curator/internal/version	4.975s
ok  	github.com/relux-works/curator/internal/whitelist	5.282s
