ok  	github.com/relux-works/curator/cmd/curator	486.238s
ok  	github.com/relux-works/curator/internal/adapters	1.933s
ok  	github.com/relux-works/curator/internal/audit	2.816s
ok  	github.com/relux-works/curator/internal/buildcache	3.862s
ok  	github.com/relux-works/curator/internal/buildmeta	1.004s
ok  	github.com/relux-works/curator/internal/buildrepo	43.646s
ok  	github.com/relux-works/curator/internal/buildsource	4.525s
ok  	github.com/relux-works/curator/internal/capabilities	2.026s
ok  	github.com/relux-works/curator/internal/closure	7.568s
ok  	github.com/relux-works/curator/internal/config	4.293s
ok  	github.com/relux-works/curator/internal/devsub	3.121s
ok  	github.com/relux-works/curator/internal/envfiles	4.854s
ok  	github.com/relux-works/curator/internal/gitignore	2.689s
ok  	github.com/relux-works/curator/internal/gitops	6.014s
ok  	github.com/relux-works/curator/internal/globalbins	5.570s
ok  	github.com/relux-works/curator/internal/godriver	74.192s
ok  	github.com/relux-works/curator/internal/hashing	5.288s
ok  	github.com/relux-works/curator/internal/identifiers	4.691s
ok  	github.com/relux-works/curator/internal/identity	4.993s
ok  	github.com/relux-works/curator/internal/install	118.010s
ok  	github.com/relux-works/curator/internal/install/atomicity	118.982s
ok  	github.com/relux-works/curator/internal/interop	4.982s
ok  	github.com/relux-works/curator/internal/locale	4.647s
ok  	github.com/relux-works/curator/internal/managerlock	5.957s
ok  	github.com/relux-works/curator/internal/manifest	5.083s
ok  	github.com/relux-works/curator/internal/marker	5.207s
ok  	github.com/relux-works/curator/internal/mcp	4.602s
ok  	github.com/relux-works/curator/internal/protocoljson	4.690s
ok  	github.com/relux-works/curator/internal/registry	6.587s
ok  	github.com/relux-works/curator/internal/runtimestore	15.836s
ok  	github.com/relux-works/curator/internal/scopes	5.588s
ok  	github.com/relux-works/curator/internal/shell	5.430s
ok  	github.com/relux-works/curator/internal/skillcheck	4.576s
ok  	github.com/relux-works/curator/internal/skillspec	5.887s
ok  	github.com/relux-works/curator/internal/snapshot	4.704s
ok  	github.com/relux-works/curator/internal/staging	4.035s
ok  	github.com/relux-works/curator/internal/transaction	75.335s
ok  	github.com/relux-works/curator/internal/ui	4.432s
ok  	github.com/relux-works/curator/internal/verr	4.406s
ok  	github.com/relux-works/curator/internal/version	3.433s
ok  	github.com/relux-works/curator/internal/whitelist	4.008s
EXIT=0
