ok  	github.com/relux-works/curator/internal/runtimestore	14.234s
ok  	github.com/relux-works/curator/internal/install	34.380s
ok  	github.com/relux-works/curator/internal/scopes	0.753s
ok  	github.com/relux-works/curator/cmd/curator	14.914s
ok  	github.com/relux-works/curator/internal/buildcache	2.749s
ok  	github.com/relux-works/curator/internal/buildsource	2.821s
ok  	github.com/relux-works/curator/internal/buildmeta	2.129s
ok  	github.com/relux-works/curator/internal/godriver	23.055s
ok  	github.com/relux-works/curator/internal/skillcheck	4.171s
ok  	github.com/relux-works/curator/internal/skillspec	3.888s
ok  	github.com/relux-works/curator/internal/whitelist	3.507s
ok  	github.com/relux-works/curator/internal/interop	3.178s
