ok  	github.com/relux-works/curator/cmd/curator	4.076s
ok  	github.com/relux-works/curator/internal/adapters	6.580s
ok  	github.com/relux-works/curator/internal/audit	3.712s
ok  	github.com/relux-works/curator/internal/capabilities	5.228s
ok  	github.com/relux-works/curator/internal/closure	20.746s
ok  	github.com/relux-works/curator/internal/config	5.667s
ok  	github.com/relux-works/curator/internal/devsub	4.967s
ok  	github.com/relux-works/curator/internal/envfiles	4.224s
ok  	github.com/relux-works/curator/internal/gitignore	4.734s
ok  	github.com/relux-works/curator/internal/gitops	8.204s
ok  	github.com/relux-works/curator/internal/hashing	3.905s
ok  	github.com/relux-works/curator/internal/identifiers	4.703s
ok  	github.com/relux-works/curator/internal/identity	5.746s
ok  	github.com/relux-works/curator/internal/install	43.438s
ok  	github.com/relux-works/curator/internal/interop	6.885s
ok  	github.com/relux-works/curator/internal/locale	7.145s
ok  	github.com/relux-works/curator/internal/manifest	8.453s
ok  	github.com/relux-works/curator/internal/marker	8.279s
ok  	github.com/relux-works/curator/internal/mcp	8.551s
ok  	github.com/relux-works/curator/internal/protocoljson	8.355s
ok  	github.com/relux-works/curator/internal/registry	8.195s
ok  	github.com/relux-works/curator/internal/runtimestore	8.542s
ok  	github.com/relux-works/curator/internal/scopes	8.622s
ok  	github.com/relux-works/curator/internal/shell	8.556s
ok  	github.com/relux-works/curator/internal/skillcheck	8.348s
ok  	github.com/relux-works/curator/internal/skillspec	9.938s
ok  	github.com/relux-works/curator/internal/snapshot	8.635s
ok  	github.com/relux-works/curator/internal/ui	7.622s
ok  	github.com/relux-works/curator/internal/verr	7.958s
ok  	github.com/relux-works/curator/internal/version	7.437s
ok  	github.com/relux-works/curator/internal/whitelist	7.589s
